label,name,名称,物料类别,数量,BOMID,partType,productID,prop,供应商,制造方式,材料,核心物料,结构号,规格
转子铁心,DC-3030119-026,转子铁心,转子铁心,1,4,部件,Y05060-002copy,-,-,-,-,-,1.0004.0009.0002.0001,-
转子冲片,DC-3030119-027,转子冲片,转子冲片,1,4,部件,Y05060-002copy,-,-,-,-,-,1.0004.0009.0002.0001.0001,-
硅钢片,DC-3030119-028,硅钢片,硅钢片,1,4,零件,Y05060-002copy,-,-,-,-,-,1.0004.0009.0002.0001.0001.0001,35WW270样机阶段采用自粘硅钢片
磁钢,DC-3030119-029,磁钢,磁钢,1,4,零件,Y05060-002copy,-,-,-,-,-,1.0004.0009.0002.0002,烧结钕铁硼35EH
转子支架,DC-3030119-030,转子支架,转子支架,1,4,零件,Y05060-002copy,-,-,-,-,-,1.0004.0009.0002.0003,QT500铸造(批量)
轴,DC-3030119-031,轴,轴,1,4,零件,Y05060-002copy,-,-,-,-,-,1.0004.0009.0002.0004,20CrNiMo
键,DC-3030119-032,键,键,1,4,零件,Y05060-002copy,-,-,-,-,-,1.0004.0009.0002.0005,20CrMnTi
平衡端板,DC-3030119-033,平衡端板,平衡端板,1,4,零件,Y05060-002copy,-,-,-,-,-,1.0004.0009.0002.0006,45钢
环氧胶,DC-3030119-034,环氧胶,环氧胶,1,4,零件,Y05060-002copy,-,-,-,-,-,1.0004.0009.0002.0007,不锈钢403
旋转变压器,DC-3030119-035,旋转变压器,旋转变压器,1,4,零件,Y05060-002copy,-,-,-,-,-,1.0004.0009.0003,-
轴承,DC-3030119-036,轴承,轴承,1,4,零件,Y05060-002copy,-,-,外购,-,是,1.0004.0009.0004,多么川
油封,DC-3030119-037,油封,油封,1,4,零件,Y05060-002copy,-,-,外购,-,是,1.0004.0009.0005,SKF NSK FAG
前后端盖,DC-3030119-038,前后端盖,前后端盖,1,4,零件,Y05060-002copy,-,-,-,-,-,1.0004.0009.0006,NAK NOK
接线盒,DC-3030119-039,接线盒,接线盒,1,4,部件,Y05060-002copy,-,-,-,-,-,1.0004.0009.0007,ZL101A
接线盒盖,DC-3030119-040,接线盒盖,接线盒盖,1,4,零件,Y05060-002copy,-,-,-,-,-,1.0004.0009.0007.0001,ZL101A ADC12
接线盒座,DC-3030119-041,接线盒座,接线盒座,1,4,零件,Y05060-002copy,-,-,-,-,-,1.0004.0009.0007.0002,ADC12
防水接头,DC-3030119-042,防水接头,防水接头,1,4,零件,Y05060-002copy,-,-,-,-,-,1.0004.0009.0007.0003,ADC12
接线板,DC-3030119-043,接线板,接线板,1,4,部件,Y05060-002copy,-,-,-,-,-,1.0004.0009.0007.0004,-
接线板体,DC-3030119-044,接线板体,接线板体,1,4,零件,Y05060-002copy,-,-,-,-,-,1.0004.0009.0007.0004.0001,高温尼龙
接线螺栓,DC-3030119-045,接线螺栓,接线螺栓,1,4,零件,Y05060-002copy,-,-,-,-,-,1.0004.0009.0007.0004.0002,-
接线链接片,DC-3030119-046,接线链接片,接线链接片,1,4,零件,Y05060-002copy,-,-,-,-,-,1.0004.0009.0007.0004.0003,紫铜
弱电接线连接器,DC-3030119-047,弱电接线连接器,弱电接线连接器,1,4,零件,Y05060-002copy,-,-,-,-,-,1.0004.0009.0007.0004.0004,-
DC电机贴,5040054-000,DC电机贴-HC-595,DC电机贴,1,4,零件,Y05060-002copy,-,-,-,-,否,1.0004.0010,EVA30*10*1.0黑色300595301A
偏心轮,2080132-000,偏心轮-HC-530,偏心轮,1,4,零件,Y05060-002copy,-,-,-,-,-,1.0004.0011,黄铜Φ5.0*9.2300530201A
正极片,2070227-000,正极片-HC-530,正极片,1,4,零件,Y05060-002copy,-,-,-,-,-,1.0004.0012,磷铜T0.3镀镍300530205A
负极弹片,2070172-000,负极弹片-HC-581,负极弹片,1,4,零件,Y05060-002copy,-,-,-,-,-,1.0004.0013,磷铜片T0.3电镀300581201A
行程接触片,2070112-000,行程接触片-HC-577,行程接触片,1,4,零件,Y05060-002copy,-,-,-,-,-,1.0004.0014,铍青铜T0.2镀银300577202A
螺丝,2050075-000,螺丝-铁,螺丝,1,4,零件,Y05060-002copy,-,-,-,-,-,1.0004.0015,PT2*8十字槽镀镍
螺丝,2050068-000,螺丝-铁,螺丝,1,4,零件,Y05060-002copy,-,-,-,-,-,1.0004.0016,PTW2*5十字槽垫圈D5.0镀镍
螺丝,2050093-000,螺丝-铁,螺丝,1,4,零件,Y05060-002copy,-,-,-,-,-,1.0004.0017,Φ2.5*6十字槽镀镍300530209A
电子板,3070611-000,PCB组件-HC-581,电子板,1,4,零件,Y05060-002copy,-,-,-,-,-,1.0004.0018,300581701A
刀头组件,S05060000-00,刀头组件-HC-581,刀头组件,1,4,部件,Y05060-002copy,-,-,-,-,-,1.0004.0019,-
刀座,1010317-000,刀座-HC-530,刀座,1,4,部件,Y05060-002copy,-,-,-,-,-,1.0004.0019.0001,POMF20-03黑色300530110A
POM,1040045-000,POM-南通宝泰菱,POM,1,4,零件,Y05060-002copy,-,-,-,-,-,1.0004.0019.0001.0001,POMF20-03
母粒,1040096-000,母粒-特黑,母粒,1,4,零件,Y05060-002copy,-,-,-,-,-,1.0004.0019.0001.0002,1号
定刀片,5020005-000,定刀片-HC-530,定刀片,1,4,零件,Y05060-002copy,-,-,-,-,-,1.0004.0019.0002,420J2HRC56-58抛光300530203A
动刀片,5020006-000,动刀片-HC-530,动刀片,1,4,零件,Y05060-002copy,-,-,-,-,-,1.0004.0019.0003,420J2HRC55-57抛光300530202A
刀垫,1051407-000,刀垫-HC-581,刀垫,1,4,部件,Y05060-002copy,-,-,-,-,-,1.0004.0019.0004,POMF20-03本色300581108A
POM,1040045-000,POM-南通宝泰菱,POM,1,4,零件,Y05060-002copy,-,-,-,-,-,1.0004.0019.0004.0001,POMF20-03
弹簧,2020021-000,动刀扭簧-HC-530,弹簧,1,4,零件,Y05060-002copy,-,-,-,-,-,1.0004.0019.0005,琴钢线Ф0.8煲黑300530207A
螺丝,2050093-000,螺丝-铁,螺丝,1,4,零件,Y05060-002copy,-,-,-,-,-,1.0004.0019.0006,Φ2.5*6十字槽镀镍300530209A
电子线,3015272-000,电子线-QIFURUI,电子线,1,4,零件,Y05060-002copy,-,-,-,-,-,1.0004.0020,UL100724AWGL75剥线4留胶+剥线4浸锡红色
电子线,3015273-000,电子线-QIFURUI,电子线,1,4,零件,Y05060-002copy,-,-,-,-,-,1.0004.0021,UL100724AWGL45剥线4留胶+剥线4浸锡红色
电子线,3015283-000,电子线-QIFURUI,电子线,1,4,零件,Y05060-002copy,-,-,-,-,-,1.0004.0022,UL100724AWGL45剥线4留胶+剥线4留胶黑色
弹簧,2020404-000,负极弹片压簧-HC-581,弹簧,1,4,零件,Y05060-002copy,-,-,-,-,-,1.0004.0023,琴钢线OD3.8*4.6*Φ0.55圈300581202A
